occ70,duncan,seigel,treiman
001,76.8,55.9,60.6
002,85.2,66.7,69.1
003,65.0,50.6,57.5
004,65.0,50.6,57.5
005,65.0,,
006,81.0,71.1,55.2
010,89.9,67.2,66.4
011,84.0,67.8,70.3
012,84.0,69.4,65.1
013,85.5,55.6,54.9
014,80.2,62.1,65.6
015,83.1,58.4,59.0
020,85.0,61.6,62.8
021,81.0,57.1,59.1
022,87.0,50.6,55.2
023,86.9,67.0,55.5
024,83.0,53.9,57.4
025,48.0,53.9,57.4
026,83.0,,
030,93.0,75.7,73.0
031,92.3,75.1,72.6
032,60.0,54.6,54.5
033,74.6,59.6,63.7
034,81.0,55.4,67.8
035,80.0,65.0,66.1
036,81.0,55.4,67.8
042,80.0,55.8,66.1
043,62.0,47.0,45.5
044,80.0,67.7,66.1
045,79.4,67.1,66.2
051,80.0,67.2,66.1
052,80.0,67.2,66.1
053,80.0,73.8,66.1
054,77.2,75.1,64.5
055,65.7,50.8,57.9
056,83.6,55.8,56.5
061,75.0,60.0,62.5
062,96.0,73.6,70.5
063,79.0,62.0,59.7
064,81.3,60.3,63.8
065,92.1,81.2,77.6
071,58.0,36.7,51.6
072,78.0,58.7,61.4
073,99.0,36.7,51.6
074,39.0,52.1,52.1
075,44.3,60.1,52.9
076,60.0,40.5,53.2
080,48.0,61.0,52.4
081,48.0,,
082,60.0,54.6,54.5
083,48.0,61.0,52.4
084,48.0,61.0,52.4
085,52.2,49.8,49.2
086,52.0,69.0,59.7
090,56.7,55.0,40.3
091,74.4,53.6,62.9
092,81.0,71.4,67.8
093,81.0,71.4,67.8
094,81.0,71.4,67.8
095,65.0,50.6,57.5
096,81.0,65.6,67.8
100,64.0,52.4,56.3
101,67.0,48.6,48.9
102,84.0,78.3,77.6
103,84.0,78.3,77.6
104,84.0,78.3,77.6
105,84.0,78.3,77.6
110,84.0,78.3,77.6
111,84.0,78.3,77.6
112,84.0,78.3,77.6
113,84.0,78.3,77.6
114,84.0,78.3,77.6
115,84.0,78.3,77.6
116,84.0,78.3,77.6
120,84.0,78.3,77.6
121,84.0,78.3,77.6
122,84.0,78.3,77.6
123,53.2,46.8,45.7
124,64.0,53.2,50.4
125,84.0,78.3,77.6
126,84.0,77.6,77.6
130,84.0,78.3,77.6
131,72.0,53.2,50.4
132,84.0,78.3,77.6
133,84.0,78.3,77.6
134,84.0,78.3,77.6
135,84.0,78.3,77.6
140,84.0,78.3,77.6
141,61.3,44.3,48.2
142,71.2,58.9,56.7
143,72.0,,
144,70.2,59.8,59.0
145,62.3,44.2,54.0
150,62.0,47.2,56.5
151,62.0,47.0,46.7
152,67.0,56.1,54.9
153,62.0,51.6,47.0
